puesto,empresa,valoracion_empresa,ciudad,pais,tipo_contrato,salario,exp_minima,url
Visualizador de datos/Data analyst 100% Teletrabajo,"Infortec Consultores, S.A.U-.Zona Centro",75.0,Madrid,España,"Indefinido, jornada completa",33.000€ - 39.000€ bruto/año,Al menos 4 años,https://www.infojobs.net/madrid/visualizador-datos-data-analyst-100-teletrabajo/of-id7cc1d8026459cadc5805020ff0dff?applicationOrigin=search-new&page=4&sortBy=RELEVANCE
Data Science,HOTUSA Oficinas centrales,,Barcelona,España,"Indefinido, jornada completa",No disponible,Más de 5 años,https://www.infojobs.net/barcelona/data-science/of-i953981c30d4e6392442540c173d0e9?applicationOrigin=search-new&page=5&sortBy=RELEVANCE
TÉCNICO/A DE DATOS INFORMÁTICA,MERCADONA,88.0,Valencia,España,"Indefinido, jornada completa",No disponible,Al menos 4 años,https://www.infojobs.net/valencia/tecnico-datos-informatica/of-i7e0149553842b096dbca8adab55637?applicationOrigin=search-new&page=5&sortBy=RELEVANCE
TÉCNICO/A ARQUITECTURA INFORMÁTICA DE INTEGRACIONES,MERCADONA,88.0,Valencia,España,"Indefinido, jornada completa",No disponible,Al menos 4 años,https://www.infojobs.net/valencia/tecnico-arquitectura-informatica-integraciones/of-i3bdcae05f5405fb0170574330f02dd?applicationOrigin=search-new&page=5&sortBy=RELEVANCE
Ingeniero de Datos,Quental Technologies,98.0,Madrid,España,"Indefinido, jornada completa",No disponible,Más de 5 años,https://www.infojobs.net/madrid/ingeniero-datos/of-i8220c5f3624b91b5223c3916dba56c?applicationOrigin=search-new&page=5&sortBy=RELEVANCE
Data Integrity (SAS Specialist),IQVIA,92.0,Madrid,España,"De duración determinada, jornada completa",No disponible,Al menos 2 años,https://www.infojobs.net/madrid/data-integrity-sas-specialist/of-i65ca6eeb42460c91e5db5a8bbe81c3?applicationOrigin=search-new&page=5&sortBy=RELEVANCE
Data Engineer DATIO BBVA,NEORIS,76.0,Madrid,España,"Indefinido, jornada completa",No disponible,Al menos 1 año,https://www.infojobs.net/madrid/data-engineer-datio-bbva/of-i2b5798c8c4489095533a4eb56bf829?applicationOrigin=search-new&page=5&sortBy=RELEVANCE
DATA ENGINEER,Paradigma Digital,87.0,Pozuelo De Alarcón,España,"Indefinido, jornada completa",No disponible,Al menos 4 años,https://www.infojobs.net/pozuelo-de-alarcon/data-engineer/of-i08180ba04b4f799306bfdbfea0a0ea?applicationOrigin=search-new&page=5&sortBy=RELEVANCE
Research People Scientist,"ATWORK SPAIN, SL ",,Santander,España,"Indefinido, jornada completa",None,Al menos 2 años,https://www.infojobs.net/santander/research-people-scientist/of-i5d04743bc049d39f40e07f7a589ae6?applicationOrigin=search-new&page=5&sortBy=RELEVANCE
Research People Scientist,"ATWORK SPAIN, SL ",,Málaga,España,"Indefinido, jornada completa",None,Al menos 2 años,https://www.infojobs.net/malaga/research-people-scientist/of-ia003a29867483a8a4fcc51d709084c?applicationOrigin=search-new&page=5&sortBy=RELEVANCE
